,Unnamed: 0,year,month,location,fatalities,cat,Latitude,Longitude
329,15409,1994,JAN,near Elorza Airport (...,2.0,1,7.05944,-69.49565
330,19568,1977,JAN,near Sarajevo Airport...,8.0,1,43.82458,18.33147
331,13175,1975,JAN,Zaporozhye Airpo...,0.0,1,,
332,9267,1994,JAN,Paris-Charles de...,0.0,1,45.4781415,-73.5601764
333,12151,1995,JAN,Toogoolawah Airp...,0.0,1,,
334,8700,1995,JAN,Newton Municipal...,0.0,1,40.0175927,23.5251201
335,9837,2004,JAN,Pueblo Memorial ...,0.0,1,21.4852348,-77.6098712
336,11665,2003,JAN,SÃ£o Paulo-Congo...,0.0,1,-9.65,28.53333
337,3532,1977,JAN,El Peru,0.0,1,17.6208376,-89.9053035
338,6009,1994,JAN,Kuala Kapuas,0.0,1,-3.0084093,114.3858719
339,15648,1976,JAN,near Frunze Airport (...,6.0,1,,
340,13404,1975,JAN,"near Addison Airport,...",0.0,1,32.96846,-96.83667
341,9482,1975,JAN,Phnom Penh-Poche...,0.0,3,,
342,7210,1976,JAN,Manado-Samratula...,0.0,1,,
343,9956,2003,JAN,Quito-Mariscal S...,0.0,1,-0.1445583,-78.454462
344,10948,2017,JAN,Scottsdale Airpo...,0.0,1,,
345,10860,1975,JAN,Santo Domingo-La...,1.0,1,28.1265629,-80.5832024
346,6136,1976,JAN,KÃ¸benhavn-Kastr...,0.0,1,,
347,12092,1995,JAN,Tobolsk Airport ...,0.0,1,61.0289346,69.0948204
348,9296,1995,JAN,Paris-Le Bourget...,10.0,1,48.9434494,2.4220457
349,5325,2018,JAN,Jessore Airport ...,0.0,1,23.1840617,89.1603574
350,7883,1995,JAN,Molo Strait,14.0,1,-8.6711423,119.7962093
351,5835,1995,JAN,Kinshasa-N'Djili...,0.0,1,-4.4048357,15.37378
352,3790,2017,JAN,Five Point-Agro-...,0.0,1,34.91667,33.01667
353,18581,2004,JAN,"near Pelee Island, ON",10.0,1,41.77701,-82.66379
354,10063,2004,JAN,Reus Airport (REU),0.0,1,41.1464121,1.1574354
355,5805,1976,JAN,Kimba Ngorongoro,0.0,1,-3.2134983,35.467577
356,6770,1975,JAN,London-Stansted ...,0.0,1,51.8869652,0.2441929
357,19391,1976,JAN,near San Borja-Capita...,7.0,1,,
358,17112,1976,JAN,near Leningrad-Smolno...,0.0,1,,
359,9851,1994,JAN,Puerto Inirida A...,0.0,1,2.7705107,-69.361198
360,10261,2004,JAN,Roma-Fiumicino A...,0.0,1,38.5,-0.5
361,391,1977,JAN,Anchorage Intern...,6.0,2,,
362,13990,2003,JAN,near Baucau-Cakung Ai...,6.0,1,,
363,20546,1994,JAN,near Tver-Migalovo Ai...,7.0,1,,
364,10789,1994,JAN,Santa Elena Airs...,0.0,1,,
365,3731,1975,JAN,Faroe Islands-Va...,0.0,1,37.54812,-77.44675
366,366,1994,JAN,Amsterdam-Schiph...,0.0,1,,
367,2902,2004,JAN,Dakar-LÃ©opold S...,0.0,2,-15.5,35.0
368,10531,1977,JAN,Samarinda Airpor...,0.0,1,,
369,15720,2004,JAN,near GhardaÃ¯a-NoumÃ©...,1.0,1,,
370,2173,1974,JAN,"Carp Airport, ON...",0.0,2,45.3232989,-76.0291038
371,10569,1977,JAN,San Borja Airpor...,0.0,1,,
372,10279,2016,JAN,RondonÃ³polis-Ma...,0.0,1,32.0,-6.0
373,8487,1996,JAN,Nashville Intern...,0.0,1,,
374,6176,2018,JAN,La Paragua Airport,0.0,1,6.8349374,-63.3496675
